query,doc_url,language,relevant,annotator
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/education/scholarship/w7xl659bh3,bn,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/opinion/column/awu54nyhki,bn,no,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.newagebd.net/post/education/287677/ugc-drafts-ord-for-more-power,en,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/education/915yxaetu4,bn,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/education/higher-education/55zzzww3nz,bn,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/education/campus/m8lq39p8i5,bn,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/sports/cricket/ckaanb99ru,bn,no,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/education/higher-education/6wh8o8bie7,bn,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.daily-sun.com/bangladesh/852503/koica-launches-nursing-education-and-research-capacity-project-in-bangladesh,en,yes,Maroof Ahmed
শিক্ষা ব্যবস্থা বাংলাদেশ,https://www.prothomalo.com/bangladesh/uhnit27kpn,bn,no,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/business/economics/thaiw73nsl,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/business/bank/tndbc401xl,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/opinion/column/hhi6dfbooe,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/opinion/column/2tn4dswpvh,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/business/bank/9834p02p4u,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/bangladesh/rw8strogu7,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.banglatribune.com/country/chitagong/930529/%E0%A6%85%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%86%E0%A6%B0-%E0%A6%AD%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%81%E0%A6%B0-%E0%A6%85%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%A8%E0%A7%87%E0%A6%87-%E0%A6%B0%E0%A6%BF%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD-%E0%A6%8F%E0%A6%96%E0%A6%A8-%E0%A7%A9%E0%A7%A8,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.banglatribune.com/business/news/918905/%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%97-%E0%A6%AC%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/opinion/editorial/xem4c6uu6e,bn,yes,Maroof Ahmed
বাংলাদেশ অর্থনীতি,https://www.prothomalo.com/business/bank/qaxiwydffx,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/bank/k7v1d4qdrk,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/bangladesh/rw8strogu7,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/bank/uiws7gzzhm,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/bank/qaxiwydffx,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/opinion/column/2tn4dswpvh,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/market/k6zk6bf0bs,bn,no,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/economics/j7z09j2y86,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/bank/3cgjt1u1bj,bn,no,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/bangladesh/udbqy2qgf4,bn,yes,Maroof Ahmed
বাংলাদেশ ব্যাংক,https://www.prothomalo.com/business/bank/tndbc401xl,bn,no,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/capital/e7d7q1vawx,bn,yes,Maroof Ahmed
ঢাকা যানজট,https://www.dhakapost.com/national/425019,bn,no,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/1ihmmzwwwv,bn,yes,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/photo/bangladesh/7ios1iy5up,bn,yes,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/capital/fb4wh9n19t,bn,yes,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/kdx4cazvra,bn,yes,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/environment/zsn7d19k34,bn,no,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/district/8fa3cxzg4n,bn,no,Maroof Ahmed
ঢাকা যানজট,https://www.dhakapost.com/politics/425005,bn,no,Maroof Ahmed
ঢাকা যানজট,https://www.prothomalo.com/bangladesh/environment/fi4kukhfn5,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/religion/islam/x8ti0bubr1,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/opinion/column/a51rnb2avm,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/education/higher-education/a0976z1dbn,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/bangladesh/district/z5898naje5,bn,no,Maroof Ahmed
