query,engine,language,rank,title,url,relevant
শিক্ষা ব্যবস্থা বাংলাদেশ,google,bn,1,বাংলাদেশের শিক্ষাব্যবস্থা,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0_%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,yes
শিক্ষা ব্যবস্থা বাংলাদেশ,bing,bn,1,বাংলাদেশের শিক্ষাব্যবস্থা,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0_%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE',yes
শিক্ষা ব্যবস্থা বাংলাদেশ,duckduckgo,bn,1,বাংলাদেশের শিক্ষা ব্যবস্থা | People's Republic of Bangladesh,https://bangladesh.gov.bd/site/page/f4df5f44-0d7c-44f0-a29a-dd76f9401a33/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,yes
বাংলাদেশ অর্থনীতি,google,bn,1,বাংলাদেশের অর্থনীতি,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0_%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,yes
বাংলাদেশ অর্থনীতি,bing,bn,1,বাংলাদেশের অর্থনীতি,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0_%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,yes
বাংলাদেশ অর্থনীতি,duckduckgo,bn,1,বাংলাদেশের অর্থনীতি,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0_%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,yes
বাংলাদেশ ব্যাংক,google,bn,1,bb.org.bd,https://www.bb.org.bd/en/index.php,yes
বাংলাদেশ ব্যাংক,bing,bn,1,bb.org.bd,https://www.bb.org.bd/en/index.php,yes
বাংলাদেশ ব্যাংক,duckduckgo,bn,1,bb.org.bd,https://www.bb.org.bd/en/index.php,yes
ঢাকা যানজট,google,bn,1,ঢাকার যানজট,https://www.somoynews.tv/topic/%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A6%9C%E0%A6%9F,yes
ঢাকা যানজট,bing,bn,1,ঢাকার সর্বশেষ যানজট পরিস্থিতি সম্পর্কে জানবেন যেভাবে,https://bangla.dhakatribune.com/bangladesh/91280/,yes
ঢাকা যানজট,duckduckgo,bn,1,ঢাকার সর্বশেষ যানজট পরিস্থিতি সম্পর্কে জানবেন যেভাবে,https://bangla.dhakatribune.com/bangladesh/91280/,yes
চেয়ার,google,bn,1,Swivel Chair Price in Bangladesh,https://hatil.com/swivel-chair,yes
চেয়ার,bing,bn,1,চেয়ার এর দাম,https://www.bdstall.com/bn/chair/,yes
চেয়ার,duckduckgo,bn,1,চেয়ার,https://bn.wikipedia.org/wiki/%E0%A6%9A%E0%A7%87%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0,yes
বাংলাদেশ কৃষি সমস্যা,google,bn,1,বাংলাদেশের কৃষির সমস্যা ও সমাধান আলোচনা কর,https://www.famousconcept.com/2024/08/bangladesher-krishir-somossa.html,yes
বাংলাদেশ কৃষি সমস্যা,bing,bn,1,বাংলাদেশের কৃষির সমস্যা ও সমাধান বর্ণনা কর।,https://suggetion.com/krishir-somossa-o-somadhan/,yes
বাংলাদেশ কৃষি সমস্যা,duckduckgo,bn,1,বাংলাদেশের কৃষির সমস্যা ও সমাধান বর্ণনা কর।,https://suggetion.com/krishir-somossa-o-somadhan/,yes
বেকারত্ব বাংলাদেশ,google,bn,1,বাংলাদেশে বেকারত্ব,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87_%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%8D%E0%A6%AC,yes
বেকারত্ব বাংলাদেশ,bing,bn,1,"দেশে এখন বেকার কত, ২৭ লাখ, নাকি সোয়া এক কোটি",https://www.prothomalo.com/business/rfwjev7rjb,yes
বেকারত্ব বাংলাদেশ,duckduckgo,bn,1,বেকারত্ব: চাকরি হারানো মানুষেরা চাপ সামলাচ্ছেন কীভাবে?,https://www.bbc.com/bengali/articles/c3r4r51n9lno,yes
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,google,bn,1,"ত্রয়োদশ জাতীয় সংসদ নির্বাচন, ২০২৬",https://bn.wikipedia.org/wiki/13th_national_election_2026,yes
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bing,bn,1,জাতীয়-সংসদ-নির্বাচন-২০২৬,https://banglastream.net/topic/election-2026,yes
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,duckduckgo,bn,1,২০২৬ সালের এপ্রিলের প্রথমার্ধের যে কোনো দিন নির্বাচন: ইউনূস,https://bangla.bdnews24.com/bangladesh/3945637337b0,yes
কক্সবাজার শরণার্থী,google,bn,1,কুতুপালং শরণার্থী শিবির,https://bn.wikipedia.org/wiki/Kutupalong_refugee_camp,yes
কক্সবাজার শরণার্থী,bing,bn,1,হোম | শরণার্থী ত্রাণ ও প্রত্যাবাসন কমিশনারের কার্যালয়,https://rrrc.gov.bd/,yes
কক্সবাজার শরণার্থী,duckduckgo,bn,1,বাংলাদেশে রোহিঙ্গা শরণার্থী,https://bn.wikipedia.org/wiki/Rohingya_refugees_in_BD,yes
শিবির,google,bn,1,Bangladesh Islami Chhatrashibir,https://shibir.org.bd/,yes
শিবির,bing,bn,1,Bangladesh Islami Chhatrashibir,https://shibir.org.bd/,yes
শিবির,duckduckgo,bn,1,বাংলাদেশ ইসলামী ছাত্রশিবির,https://bn.wikipedia.org/wiki/BD_Islami_Chhatrashibir,yes
আগুন নর্সিংদি,google,bn,1,নরসিংদীতে সুতা কারখানায় আগুন,https://bangla.thedailystar.net/news/bangladesh/news-720746,yes
