query,engine,language,rank,title,url,relevant,notes
Bangladesh politics,google,en,1,Politics of Bangladesh,"https://en.wikipedia.org/wiki/Politics_of_Bangladesh#:~:text=The%20politics%20of%20Bangladesh%20operate,is%20exercised%20by%20the%20government.",yes,good match
Bangladesh politics,duckduckgo,en,1,Tarique Rahman: Politics must move beyond decades of blame,https://www.dhakatribune.com/bangladesh/politics/401358/tarique-rahman-politics-must-move-beyond-decades,yes,moderate
Bangladesh politics,bing,en,1,Dual citizenship: Bangladesh’s latest political flashpoint before elections,https://www.aljazeera.com/features/2026/1/20/dual-citizenship-bangladeshs-latest-political-flashpoint-before-elections,yes,moderate
Bangladesh cricket team performance,google,en,1,Bangladesh Cricket Team News & Matches,https://www.espncricinfo.com/team/bangladesh-25,yes,good
Bangladesh cricket team performance,duckduckgo,en,1,Bangladesh Cricket Team News & Matches,https://www.espncricinfo.com/team/bangladesh-25,yes,good
Bangladesh cricket team performance,bing,en,1,Bangladesh Cricket Team Stats,https://www.espncricinfo.com/team/bangladesh-25/stats,yes,good
ঢাকায় শিক্ষা ,google,bn,1,"মাধ্যমিক ও উচ্চমাধ্যমিক শিক্ষা বোর্ড, ঢাকা",https://www.dhakaeducationboard.gov.bd/site/,yes,good
ঢাকায় শিক্ষা ,duckduckgo,bn,1,"মাধ্যমিক ও উচ্চ মাধ্যমিক শিক্ষা বোর্ড, ঢাকা",https://dhakaeducationboard.portal.gov.bd/,yes,good
ঢাকায় শিক্ষা ,bing,bn,1,"মাধ্যমিক ও উচ্চ মাধ্যমিক শিক্ষা বোর্ড, ঢাকা",https://dhakaeducationboard.portal.gov.bd/,yes,good
বাংলাদেশ ক্রিকেট ,google,bn,1,বাংলাদেশ না খেললে টি-টোয়েন্টি বিশ্বকাপ বর্জন করতে পারে পাকিস্তানও,https://www.ittefaq.com.bd/771393/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%A8%E0%A6%BE-%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%B2%E0%A7%87-%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%AC-%E0%A6%9F%E0%A6%BF-%E0%A6%9F%E0%A7%8B%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%95%E0%A6%BE%E0%A6%AA,yes,good
বাংলাদেশ ক্রিকেট ,duckduckgo,bn,1,Bangladesh Cricket Board | Official Website of BCB,https://tigercricket.com.bd/,yes,good
বাংলাদেশ ক্রিকেট ,bing,bn,1,Bangladesh Cricket Team News & Matches,https://www.espncricinfo.com/team/bangladesh-25,yes,good
climate change Bangladesh,google,en,1,How the Climate Crisis Is Impacting Bangladesh,https://www.climaterealityproject.org/blog/how-climate-crisis-impacting-bangladesh,yes,good
climate change Bangladesh,duckduckgo,en,1,How the Climate Crisis Is Impacting Bangladesh,https://www.climaterealityproject.org/blog/how-climate-crisis-impacting-bangladesh,yes,good
climate change Bangladesh,bing,en,1,Climate change in Bangladesh,https://en.wikipedia.org/wiki/Climate_change_in_Bangladesh,yes,good
