Query,Lang,Translated,Rank-1 EN,Score EN,Rank-1 BN,Score BN,Time(ms)
শিক্ষা ব্যবস্থা বাংলাদেশ,bn,The Education System Bangladesh,ENT dept of BMU holds workshop,60.1%,এভিয়েশন অ্যান্ড অ্যারোস্পেস বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষার ফলাফল প্রকাশ,55.6%,38818.4
বাংলাদেশ অর্থনীতি,bn,Bangladesh Economics,"ULAB, THSnet sign memo to strengthen industry-academia collaboration",49.1%,ডাক বিভাগের বিভিন্ন পদের লিখিত পরীক্ষার সময়সূচি প্রকাশ,47.9%,33799.4
বাংলাদেশ ব্যাংক,bn,Bangladesh Bank,"NCC Bank, BB sign deal on start-up refinance fund",52.4%,বাংলাদেশ ব্যাংকে স্টার্টআপ ফান্ডের চেক হস্তান্তর করল আইএফআইসি ব্যাংক,55.9%,33554.5
ঢাকা যানজট,bn,Dhaka Traffic,Citizens Bank to collect gas bills,49.8%,সড়কে অবরোধ দুর্ভোগে নগরবাসী,55.8%,33781.7
চেয়ার,bn,Chair,The best yoga poses to help you through the final stages of pregnancy,38.9%,টার্কিশ ডিলাইটের রেসিপি,49.0%,33746.6
বাংলাদেশ কৃষি সমস্যা,bn,Bangladesh is a agricultural problem,"‘Bangladeshi investors can enjoy 100% ownership, tax benefits in Algeria’",62.8%,"বিদ্যুৎ, জ্বালানি ও খনিজ সম্পদ মন্ত্রণালয়ের ৯ম গ্রেডের মৌখিক পরীক্ষা ১ ফেব্রুয়ার",62.6%,33620.1
বেকারত্ব বাংলাদেশ,bn,Unemployment Bangladesh,"Bank Asia, BB to train SMEs in Sylhet",55.7%,"টিআইবিতে চাকরি, ১ লাখ ৪০ হাজার টাকা, নারীদের সুযোগ",55.6%,34264.7
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bn,Bangladesh is discussing 2026 elections.,Jamaat-led alliance unveils seat sharing for 253 constituencies,67.2%,"এনসিপি নির্বাচনে অংশ নেবে কি না, তা বিবেচনার সময় এসেছে: আসিফ মাহমুদ",71.2%,33665.5
কক্সবাজার শরণার্থী শিবির আগুন,bn,Coxbazar Refugee Camp Fire,Firearms recovered at Raujan,55.8%,বনবিবির আরাধনা,78.8%,34015.9
নর্সিংদি ভূমিকম্প,bn,Norsingadi Earthquake,"Argentina wildfire burns over 5,500 hectares",53.9%,সিসিটিভিতে ধরা পড়া কে এই সাইকো কিলার?,66.9%,33779.9
বাংলাদেশে মুদ্রাস্ফীতি,bn,inflation in Bangladesh,NBFIs’ bad loan ratio climbs to 37.11% in signs of growing stress,51.1%,ঢাকায় বিশ্বকাপ ট্রফি প্রদর্শনী: সারা জীবন গল্প করার রসদ,70.9%,34167.3
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,bn,The risk of labor in RMG industry,NBR links ASYCUDA with BGMEA’s e-UD system,59.7%,জলবায়ু ঝুঁকি মোকাবিলায় জাতীয় পর্যায়ে অগ্রাধিকার জরুরি,74.5%,33770.9
উন্নয়ন,bn,Development,Scoping deal signed for Youth Entrepreneurship Policy’s NAP,43.5%,২১ জানুয়ারি থেকে মার্কিন ভিসার জন্য অনুমোদিত হলে ভিসা বন্ড দিতে হবে,40.8%,33464.1
climate change impact in Bangladesh,en,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,BREB distributes warm clothes to members,60.8%,‘৭২ বছরে দিন–রাতের তাপমাত্রার এই ব্যবধান দেখেনি ঢাকা’,69.1%,37123.8
Bangladesh economy growth,en,বাংলাদেশ অর্থনীতি বৃদ্ধি,"NRB Bank, BB sign deal for start-up refinancing fund",55.8%,আজকের বিনিময় হার,61.8%,34011.9
Dhaka traffic congestion,en,ঢাকা যানজট,Battery-run rickshaw pullers block road pressing two-point demand,59.9%,সড়কে অবরোধ দুর্ভোগে নগরবাসী,55.8%,33683.1
unemployment in Bangladesh,en,বাংলাদেশে বেকারত্ব,Bangladeshi students spend $667.77m in FY25 to study overseas,53.1%,আজকের বিনিময় হার,59.8%,33881.8
Bangladesh interim government reforms,en,বাংলাদেশ ইন্টারিম সরকার সংস্কার,Jamaat amir meets Australian delegation virtually,57.1%,এভিয়েশন অ্যান্ড অ্যারোস্পেস বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষার ফলাফল প্রকাশ,65.5%,34148.0
Rohingya refugee crisis in Bangladesh,en,রোহিঙ্গা শরণার্থী সঙ্কট বাংলাদেশে,Tarique Rahman meets families of victims of enforced disappearances,67.2%,"উৎসবের নাম ‘বই বিনিময়’, সংগ্রহের বই জমা দিয়ে মিলল আরেকটি",76.4%,33720.2
Bangladesh earthquake preparedness,en,বাংলাদেশ ভূমিকম্প প্রস্তুতি,"Bank Asia, BB train SME entrepreneurs in Sylhet",55.6%,২১ জানুয়ারি থেকে মার্কিন ভিসার জন্য অনুমোদিত হলে ভিসা বন্ড দিতে হবে,68.3%,33925.3
Bangladesh garment worker heat stress,en,বাংলাদেশ কাপড় শ্রমিক তাপ চাপ,Shwapno extends support to child rescued at Anwara,57.7%,টার্কিশ ডিলাইটের রেসিপি,71.8%,33800.7
