Query,Lang,Translated,Rank-1 EN,Score EN,Rank-1 BN,Score BN,Time(ms)
শিক্ষা ব্যবস্থা বাংলাদেশ,bn,The Education System Bangladesh,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,99.2%,নাভির জীবনচক্র,98.4%,37826.7
বাংলাদেশ অর্থনীতি,bn,Bangladesh Economics,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.6%,এসএসসি পরীক্ষা ২০২৬: রসায়ন—অ্যাটমের ধারণা দেন ডেমোক্রিটাস,97.6%,32723.5
বাংলাদেশ ব্যাংক,bn,Bangladesh Bank,"‘When I had dreams, no one woke me up to chase them properly’",98.5%,শিল্পকে বলা হয়ে থাকে উৎপাদনের বাহন,96.3%,33342.3
ঢাকা যানজট,bn,Dhaka Traffic,"‘When I had dreams, no one woke me up to chase them properly’",96.6%,নাভির জীবনচক্র,98.8%,33183.3
চেয়ার,bn,Chair,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,96.8%,নাভির জীবনচক্র,97.3%,33342.6
বাংলাদেশ কৃষি সমস্যা,bn,Bangladesh is a agricultural problem,"‘Bangladeshi investors can enjoy 100% ownership, tax benefits in Algeria’",98.9%,নাভির জীবনচক্র,98.5%,33423.0
বেকারত্ব বাংলাদেশ,bn,Unemployment Bangladesh,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,99.3%,নাভির জীবনচক্র,98.6%,33491.5
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bn,Bangladesh is discussing 2026 elections.,Bangladeshi students spend $667.77m in FY25 to study overseas,99.3%,নাভির জীবনচক্র,98.8%,33344.8
কক্সবাজার শরণার্থী শিবির আগুন,bn,Coxbazar Refugee Camp Fire,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,99.0%,নাভির জীবনচক্র,99.2%,33335.6
নর্সিংদি ভূমিকম্প,bn,Norsingadi Earthquake,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.6%,নাভির জীবনচক্র,99.0%,33380.2
বাংলাদেশে মুদ্রাস্ফীতি,bn,inflation in Bangladesh,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.6%,নাভির জীবনচক্র,99.0%,33612.7
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,bn,The risk of labor in RMG industry,Bangladeshi students spend $667.77m in FY25 to study overseas,99.2%,নাভির জীবনচক্র,99.5%,33517.4
উন্নয়ন,bn,Development,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,97.5%,বৈজ্ঞানিক পদ্ধতির সূচনা ঘটে গ্যালিলিওর হাতে,96.5%,33267.1
climate change impact in Bangladesh,en,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,Bangladeshi students spend $667.77m in FY25 to study overseas,98.8%,নাভির জীবনচক্র,99.1%,37156.3
Bangladesh economy growth,en,বাংলাদেশ অর্থনীতি বৃদ্ধি,Bangladeshi students spend $667.77m in FY25 to study overseas,98.8%,নাভির জীবনচক্র,99.1%,33757.6
Dhaka traffic congestion,en,ঢাকা যানজট,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.3%,নাভির জীবনচক্র,98.8%,33327.5
unemployment in Bangladesh,en,বাংলাদেশে বেকারত্ব,Bangladeshi students spend $667.77m in FY25 to study overseas,99.1%,নাভির জীবনচক্র,98.7%,33396.9
Bangladesh interim government reforms,en,বাংলাদেশ ইন্টারিম সরকার সংস্কার,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.9%,নাভির জীবনচক্র,99.1%,33261.6
Rohingya refugee crisis in Bangladesh,en,রোহিঙ্গা শরণার্থী সঙ্কট বাংলাদেশে,"‘Bangladeshi investors can enjoy 100% ownership, tax benefits in Algeria’",98.9%,নাভির জীবনচক্র,99.2%,33316.5
Bangladesh earthquake preparedness,en,বাংলাদেশ ভূমিকম্প প্রস্তুতি,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.8%,নাভির জীবনচক্র,99.1%,33349.2
Bangladesh garment worker heat stress,en,বাংলাদেশ কাপড় শ্রমিক তাপ চাপ,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,98.8%,কী যেন,99.4%,33361.1
Bangladesh T20 World Cup security concerns,en,বাংলাদেশ টি২০ বিশ্বকাপ নিরাপত্তা উদ্বেগ,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,99.5%,নাভির জীবনচক্র,99.1%,33513.4
Bangladesh quantum computing research,en,বাংলাদেশ কোয়ান্টাম কম্পিউটিং গবেষণা,Dhananjaya de Silva recalled to Sri Lanka T20 WC squad,99.1%,নাভির জীবনচক্র,99.3%,33566.1
